,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
CS Lobby - Assisted Living,NCC2025_AU,Hotel/Motel,Lobby,Hotel/Motel - lobby,2025,AU,NCC,230,157,120,CS Lobby - Assisted Living_NCC2025AU,CS Lobby - Assisted Living_NCC2025AUScheduleSet,33.33333333,30,0.322917452,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lobby - Assisted LivingPeopleDef,NECB-H-Occupancy,CS Lobby - Assisted LivingActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Hotels, motels, resorts and dormitories - Lobbies/prefunction",,,"IMC Table 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionVent",1.404649304,15.1196451,0,0.5,0,COMNET-REV9,,DOEPrototype,COMNET-REV9DOEPrototypeCS Lobby - Assisted LivingElectricalEquipDef,NECB-H-Electric-Equipment,0.836127,9.00,0.37,0.2,NCC J7D3a,,Entry lobby from outside the building; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Lobby - Assisted LivingLightingDef,NECB-H-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lobby - Assisted LivingInfil,Always On,Space Function,Hotel/Motel - lobby,,2.13,,MediumRough,0.0045,4.19,1362,1313,0.9,0.7,0.65,Wood_Residential_Lobby_5mm,CalculatedEstimate,ResidentialLoungeFurnitureWithPiano,,Wood_Residential_Lobby_5mm,CalculatedEstimateResidentialLoungeFurnitureWithPianoWood_Residential_Lobby_5mmInternalMassDef
CS Lobby - Elevator  ,NCC2025_AU,Miscellaneous,Lobby - Elevator,Lobby - elevator,2025,AU,NCC,230,157,120,CS Lobby - Elevator  _NCC2025AU,CS Lobby - Elevator  _NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lobby - Elevator  PeopleDef,,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Corridors serving other than Group R occupancies,,,IMC Table 403.3.1.1Public spaces - Corridors serving other than Group R occupanciesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,BA Warehouse,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Lobby - Elevator  ElectricalEquipDef,NECB-C-Electric-Equipment,0.510967,5.50,0.37,0.2,NCC J7D3a,,Lift cars; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Lobby - Elevator  LightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lobby - Elevator  Infil,Always On,Space Function,Lobby - elevator,,0.55,,Smooth,0.0022,65.6,3739,961,0.9,0.7,0.7,Metal_Elevator_Lobby_2mm,CalculatedEstimate,MinimalBenchAndDirectoryBoard,,Metal_Elevator_Lobby_2mm,CalculatedEstimateMinimalBenchAndDirectoryBoardMetal_Elevator_Lobby_2mmInternalMassDef
CS Lobby - Hotel,NCC2025_AU,Hotel/Motel,Lobby,LargeHotel Lobby,2025,AU,NCC,230,157,120,CS Lobby - Hotel_NCC2025AU,CS Lobby - Hotel_NCC2025AUScheduleSet,33.33333333,30,0.322917452,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lobby - HotelPeopleDef,NCC-C3-Occupancy,CS Lobby - HotelActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Hotels, motels, resorts and dormitories - Lobbies/prefunction",,,"IMC Table 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionVent",1.564128821,16.83628263,0,0.5,0,COMNET-REV9,,DOEPrototype,COMNET-REV9DOEPrototypeCS Lobby - HotelElectricalEquipDef,NCC-C3-Electric-Equipment,0.836127,9.00,0.37,0.2,NCC J7D3a,,Entry lobby from outside the building; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Lobby - HotelLightingDef,NCC-C3-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lobby - HotelInfil,Always On,LargeHotel,Lobby,,1.88,,MediumRough,0.0045,4.21,1601,1121,0.9,0.7,0.65,Mixed_Hotel_Lobby_5mm,CalculatedEstimate,FrontDeskSofasAndAreaRugs,,Mixed_Hotel_Lobby_5mm,CalculatedEstimateFrontDeskSofasAndAreaRugsMixed_Hotel_Lobby_5mmInternalMassDef
CS Lobby - Motion Picture Theater  ,NCC2025_AU,Theater,Lobby,Lobby - motion picture,2025,AU,NCC,230,157,120,CS Lobby - Motion Picture Theater  _NCC2025AU,CS Lobby - Motion Picture Theater  _NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lobby - Motion Picture Theater  PeopleDef,NCC-C9bTheatre-Occupancy,CS Lobby - Motion Picture Theater  Activity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Theaters - Lobbies,,,IMC Table 403.3.1.1Theaters - LobbiesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Lobby - Motion Picture Theater  ElectricalEquipDef,Always On,0.836127,9.00,0.37,0.2,NCC J7D3a,,Entry lobby from outside the building; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Lobby - Motion Picture Theater  LightingDef,NCC-C9bTheatre-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lobby - Motion Picture Theater  Infil,Always On,Space Function,Lobby - motion picture,,1.32,,Smooth,0.0011,42.4,5971,655,0.9,0.7,0.7,Steel_Theater_Equipment_1mm,CalculatedEstimate,ConcessionStandAndTicketKiosks,,Steel_Theater_Equipment_1mm,CalculatedEstimateConcessionStandAndTicketKiosksSteel_Theater_Equipment_1mmInternalMassDef
CS Lobby - Performing Arts Theater  ,NCC2025_AU,Theater,Lobby,Lobby - performance arts,2025,AU,NCC,230,157,120,CS Lobby - Performing Arts Theater  _NCC2025AU,CS Lobby - Performing Arts Theater  _NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lobby - Performing Arts Theater  PeopleDef,NCC-C9bTheatre-Occupancy,CS Lobby - Performing Arts Theater  Activity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Theaters - Lobbies,,,IMC Table 403.3.1.1Theaters - LobbiesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Lobby - Performing Arts Theater  ElectricalEquipDef,Always On,0.836127,9.00,0.37,0.2,NCC J7D3a,,Entry lobby from outside the building; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Lobby - Performing Arts Theater  LightingDef,NCC-C9bTheatre-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lobby - Performing Arts Theater  Infil,Always On,Space Function,Lobby - performance arts,,3.01,,MediumRough,0.0043,3.32,1416,1196,0.9,0.7,0.65,Mixed_Theater_Lobby_4mm,CalculatedEstimate,CarpetedLobbyWithBarAndSeating,,Mixed_Theater_Lobby_4mm,CalculatedEstimateCarpetedLobbyWithBarAndSeatingMixed_Theater_Lobby_4mmInternalMassDef
CS Lobby - Other,NCC2025_AU,Miscellaneous,Lobby,Lobby - other,2025,AU,NCC,230,157,120,CS Lobby - Other_NCC2025AU,CS Lobby - Other_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lobby - OtherPeopleDef,,,,,1,0.00508,,,,IMC Table 403.3.1.1,Public spaces - Elevator lobbies in parking garage,,,IMC Table 403.3.1.1Public spaces - Elevator lobbies in parking garageVent,0.000000,0.00,,,,NCC S35C2l,,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Lobby - OtherElectricalEquipDef,,0.836127,9.00,0.37,0.2,NCC J7D3a,,Entry lobby from outside the building (general default); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Lobby - OtherLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lobby - OtherInfil,Always On,Space Function,Lobby - other,,0.71,,MediumRough,0.0029,24.6,1775,1112,0.9,0.7,0.7,Mixed_Commercial_Lobby_3mm,CalculatedEstimate,BasicReceptionAndWaitingArea,,Mixed_Commercial_Lobby_3mm,CalculatedEstimateBasicReceptionAndWaitingAreaMixed_Commercial_Lobby_3mmInternalMassDef
CS Locker Room,NCC2025_AU,Miscellaneous,Locker Room,Locker room,2025,AU,NCC,0,153,153,CS Locker Room_NCC2025AU,CS Locker Room_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Locker RoomPeopleDef,,,,,,,0.25,0.000117987,,IMC Table 403.3.1.1,Education - Locker/dressing rooms,,,IMC Table 403.3.1.1Education - Locker/dressing roomsVent,0.000000,0.00,0.2,0.5,0.1,NCC S35C2l,,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Locker RoomElectricalEquipDef,SchoolSecondary BLDG_EQUIP_SCH,0.278709,3.00,0.37,0.2,NCC J7D3a,,"Toilet, locker room, staff room, rest room and the like; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Locker RoomLightingDef,SchoolSecondary BLDG_LIGHT_GYM_SCH,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Locker RoomInfil,Always On,Space Function,Locker room,,3.66,,Smooth,0.0011,42.3,7003,567,0.9,0.7,0.7,Steel_LockerRoom_1mm,CalculatedEstimate,MetalLockersAndBenches,,Steel_LockerRoom_1mm,CalculatedEstimateMetalLockersAndBenchesSteel_LockerRoom_1mmInternalMassDef
CS Lounge/Break - Healthcare,NCC2025_AU,Healthcare,Lounge/Break,Outpatient Lounge,2025,AU,NCC,230,157,120,CS Lounge/Break - Healthcare_NCC2025AU,CS Lounge/Break - Healthcare_NCC2025AUScheduleSet,40,25,0.269097876,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lounge/Break - HealthcarePeopleDef,OutPatientHealthCare BLDG_OCC_SCH,CS Lounge/Break - HealthcareActivity,5,0.002359604,0.06,0.0003048,0.3,0.000141584,,IMC Table 403.3.1.1,Office - Kitchenettes,,,IMC Table 403.3.1.1Office - KitchenettesVent,0.464515,5.00,0,0.5,0,NCC S35C2l,,Class 9a ward area (support default); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Lounge/Break - HealthcareElectricalEquipDef,OutPatientHealthCare BLDG_EQUIP_SCH_BASE,0.278709,3.00,0.37,0.2,NCC J7D3a,,"Toilet, locker room, staff room, rest room and the like (staff break/lounge fit); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Lounge/Break - HealthcareLightingDef,OutPatientHealthCare BLDG_LIGHT_SCH,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lounge/Break - HealthcareInfil,OutPatientHealthCare INFIL_SCH,Outpatient,Lounge,,2.29,,MediumRough,0.0022,15.9,2558,1034,0.9,0.7,0.7,Mixed_Healthcare_Lounge_2mm,CalculatedEstimate,KitchenetteAndDiningFurniture,,Mixed_Healthcare_Lounge_2mm,CalculatedEstimateKitchenetteAndDiningFurnitureMixed_Healthcare_Lounge_2mmInternalMassDef
CS Lounge/Break - Other,NCC2025_AU,Miscellaneous,Lounge/Break,Office BreakRoom,2025,AU,NCC,230,157,120,CS Lounge/Break - Other_NCC2025AU,CS Lounge/Break - Other_NCC2025AUScheduleSet,40,25,0.269097876,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Lounge/Break - OtherPeopleDef,OfficeMedium BLDG_OCC_SCH,CS Lounge/Break - OtherActivity,5,0.002359604,0.06,0.0003048,0.3,0.000141584,,IMC Table 403.3.1.1,Office - Kitchenettes,,,IMC Table 403.3.1.1Office - KitchenettesVent,0.000000,0.00,0.25,0.3,0,NCC S35C2l,BA Office,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Lounge/Break - OtherElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,0.278709,3.00,0.37,0.2,NCC J7D3a,,"Toilet, locker room, staff room, rest room and the like; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Lounge/Break - OtherLightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Lounge/Break - OtherInfil,OfficeMedium INFIL_SCH_PNNL,Office,BreakRoom,,2.83,,Smooth,0.0019,23.7,4488,869,0.9,0.7,0.7,Steel_Break_Room_2mm,CalculatedEstimate,VendingMachinesAndKitchenette,,Steel_Break_Room_2mm,CalculatedEstimateVendingMachinesAndKitchenetteSteel_Break_Room_2mmInternalMassDef
CS Office - Enclosed,NCC2025_AU,Office,Office - Enclosed,ClosedOffice,2025,AU,NCC,120,230,199,CS Office - Enclosed_NCC2025AU,CS Office - Enclosed_NCC2025AUScheduleSet,200,5,0.053819575,255.91,75,187.67,55,,,130,0.576923077,NCC S35C2n,Class 5 (Office) - Other applications (non-dining),,,NCC S35C2nCS Office - EnclosedPeopleDef,NCC-BizHours-Occupancy,CS Office - EnclosedActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Office - Office spaces,COMNET-REV9,"WA original - interim, pending AS1668.2:2024",IMC Table 403.3.1.1Office - Office spacesVent,1.021933,11,0,0.5,0,NCC S35C2l,COMNET-REV9,NCC S35C2l for equipment W/m2; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Office - EnclosedElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.418064,4.5,0.37,0.2,NCC J7D3a,COMNET-REV9,NCC J7D3a for lighting W/m2 (office >= 200 lux row); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Office - EnclosedLightingDef,NCC-BizHours-Lighting,0,0,0,0,0,0,N/A,,No gas appliances assumed for Class 5 office; consistent with NCC Spec 35 (no gas equipment profile modelled for offices),CS Office - EnclosedGasEquipDef-NotApplicable,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Office - EnclosedInfil,OfficeMedium INFIL_SCH_PNNL,Office,ClosedOffice,,2.99,,Smooth,0.0014,23.9,4513,864,0.9,0.7,0.7,Steel_Office_Furniture_1mm,CalculatedEstimate,DeskFilingCabinetsAndBookshelf,,Steel_Office_Furniture_1mm,CalculatedEstimateDeskFilingCabinetsAndBookshelfSteel_Office_Furniture_1mmInternalMassDef
CS Office - Open Plan,NCC2025_AU,Office,Office - Open Plan,OpenOffice,2025,AU,NCC,120,230,199,CS Office - Open Plan_NCC2025AU,CS Office - Open Plan_NCC2025AUScheduleSet,16.66666667,60,0.645834903,255.91,75,187.67,55,,,130,0.576923077,NCC S35C2n,Class 5 (Office) - Other applications (non-dining),,,NCC S35C2nCS Office - Open PlanPeopleDef,NCC-BizHours-Occupancy,CS Office - Open PlanActivity,5,0.002359604,0.06,0.0003048,,,,ASHRAE 62.1-2019,Office Buildings - Telephone/data entry,COMNET-REV9,"WA original - interim, pending AS1668.2:2024",ASHRAE 62.1-2019Office Buildings - Telephone/data entryVent,1.021933,11,0,0.5,0,NCC S35C2l,COMNET-REV9,NCC S35C2l for equipment W/m2; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Office - Open PlanElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.418064,4.5,0.37,0.2,NCC J7D3a,COMNET-REV9,NCC J7D3a for lighting W/m2 (office >= 200 lux row); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Office - Open PlanLightingDef,NCC-BizHours-Lighting,0,0,0,0,0,0,N/A,,No gas appliances assumed for Class 5 office; consistent with NCC Spec 35 (no gas equipment profile modelled for offices),CS Office - Open PlanGasEquipDef-NotApplicable,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Office - Open PlanInfil,OfficeMedium INFIL_SCH_PNNL,Office,OpenOffice,,3.22,,MediumRough,0.0055,8.98,2130,1138,0.9,0.7,0.7,Particleboard_Office_Panels_5mm,CalculatedEstimate,CubiclePanelsAndWorkstations,,Particleboard_Office_Panels_5mm,CalculatedEstimateCubiclePanelsAndWorkstationsParticleboard_Office_Panels_5mmInternalMassDef
CS Parking Area - Interior,NCC2025_AU,Parking Garage,Parking Area - Interior,Parking garage space,2025,AU,NCC,153,0,76,CS Parking Area - Interior_NCC2025AU,CS Parking Area - Interior_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Parking Area - InteriorPeopleDef,,,,,,,0.75,0.00035396,,IMC Table 403.3.1.1,Storage_Repair garages_enclosed parking garage,,,IMC Table 403.3.1.1Storage_Repair garages_enclosed parking garageVent,0.000000,0.00,0,0.06,0.88,NCC S35C2l,,Class 7a (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Parking Area - InteriorElectricalEquipDef,NECB-H-Electric-Equipment,0.185806,2.00,0.37,0.2,NCC J7D3a,,Carpark - general; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Parking Area - InteriorLightingDef,NECB-H-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Parking Area - InteriorInfil,Always On,Space Function,Parking garage space,,2.68,,Smooth,0.006,31.1,5865,669,0.9,0.7,0.65,Steel_Vehicles_6mm,CalculatedEstimate,ParkedVehiclesAt60PercentOccupancy,,Steel_Vehicles_6mm,CalculatedEstimateParkedVehiclesAt60PercentOccupancySteel_Vehicles_6mmInternalMassDef
CS Pharmacy Area,NCC2025_AU,Healthcare,Pharmacy Area,Hospital - pharmacy,2025,AU,NCC,255,0,127,CS Pharmacy Area_NCC2025AU,CS Pharmacy Area_NCC2025AUScheduleSet,100,10,0.107639151,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Pharmacy AreaPeopleDef,NCC-BizHours-Occupancy,CS Pharmacy AreaActivity,5,0.002359604,0.18,0.0009144,,,,IMC Table 403.3.1.1,Workrooms - Pharmacy (prep area),,,IMC Table 403.3.1.1Workrooms - Pharmacy (prep area)Vent,0.464515,5.00,0,0.5,0,NCC S35C2l,,"Class 9a ward area (support default - judgment call, pharmacy could arguably be clinic/procedure-rated); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC S35C2lCS Pharmacy AreaElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Health-care - examination room (nearest for dispensing counter); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Pharmacy AreaLightingDef,NCC-BizHours-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Pharmacy AreaInfil,Always On,Space Function,Hospital - pharmacy,,4.02,,MediumRough,0.0026,14.3,3052,1139,0.9,0.7,0.7,Mixed_Pharmacy_3mm,CalculatedEstimate,MedicationShelvingAndStorageCabinets,,Mixed_Pharmacy_3mm,CalculatedEstimateMedicationShelvingAndStorageCabinetsMixed_Pharmacy_3mmInternalMassDef
CS Restrooms - Nursing Home,NCC2025_AU,Nursing Home,Restrooms,Office Restroom,2025,AU,NCC,169,169,31,CS Restrooms - Nursing Home_NCC2025AU,CS Restrooms - Nursing Home_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Restrooms - Assisted LivingPeopleDef,NCC-C9cAgedCare-Occupancy,,,,,,,,7,Rule of Thumb,"Hotels, motels, resorts and dormitories - Bathrooms/toilets - private",IMC Table 403.3.1.6 - 25/50 per fixture,,"Rule of ThumbHotels, motels, resorts and dormitories - Bathrooms/toilets - privateIMC Table 403.3.1.6 - 25/50 per fixtureVent",0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9c building: S35C2l's 160 W/room provision applies only to sole-occupancy resident rooms; restrooms are a communal amenity space so they default to 'Other applications - No load'; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Restrooms - Nursing HomeElectricalEquipDef,Always On,0.278709,3.00,0.37,0.2,NCC J7D3a,,"Toilet, locker room, staff room, rest room and the like (Class 9c aged care building - NCC 2025 Vol One Spec 35 Table S35C2k is the applicable occupancy profile table for future schedule work); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Restrooms - Nursing HomeLightingDef,NCC-C9cAgedCare-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Restrooms - Assisted LivingInfil,OfficeMedium INFIL_SCH_PNNL,Office,Restroom,,3.22,,Smooth,0.0045,7.51,2167,1148,0.9,0.7,0.7,Phenolic_Restroom_4mm,CalculatedEstimate,ADAFixturesWithGrabBarsAndShower,,Phenolic_Restroom_4mm,CalculatedEstimateADAFixturesWithGrabBarsAndShowerPhenolic_Restroom_4mmInternalMassDef
