Each row represents the efficiency standards for a specificy type of chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Day Type choices: Default, Wkdy, Wknd, Mon, Tue, Wed, Thu, Fri, Sat, Sun, WntrDsn, SmrDsn, Hol",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Category,Units,Day Types,Start Date,End Date,Type,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,Notes
ApartmentHighRise LTG_OFF_SCH,Unknown,,Default,1-Jan,31-Dec,Constant,0.18,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise LTG_OFF_SCH,Unknown,,SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise LTG_OFF_SCH,Unknown,,Wkdy,1-Jan,31-Dec,Hourly,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.18,0.18,0.18,0.18,0.18,0.18,0.18,From DOE Prototype Buildings
ApartmentHighRise LTG_OFF_SCH,Unknown,,WntrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise N CLGSETP_APT_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise N HTGSETP_APT_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise OCC_APT_SCH,Occupancy,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,From DOE Prototype Buildings
ApartmentHighRise OCC_OFF_SCH,Occupancy,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise OCC_OFF_SCH,Occupancy,,Wkdy,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,0,0,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0,0,From DOE Prototype Buildings
ApartmentHighRise PLANT LOOP HIGH TEMP SCHEDULE,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,30,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANT LOOP LOW TEMP SCHEDULE,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,20,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
