Each row represents the efficiency standards for a specificy type of chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Day Type choices: Default, Wkdy, Wknd, Mon, Tue, Wed, Thu, Fri, Sat, Sun, WntrDsn, SmrDsn, Hol",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Category,Units,Day Types,Start Date,End Date,Type,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,Notes
Outpatient Bldg Equip,Equipment,,WntrDsn|Sun,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,From DOE Reference Buildings 
Outpatient Bldg Light,Lighting,,Default|SmrDsn,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Reference Buildings 
Outpatient Bldg Light,Lighting,,Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Reference Buildings 
Outpatient Bldg Light,Lighting,,WntrDsn|Sun,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Reference Buildings 
Outpatient Bldg Occ,Occupancy,,Default|SmrDsn,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.2,0.2,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.5,0.2,0.2,0.05,0.05,From DOE Reference Buildings 
Outpatient Bldg Occ,Occupancy,,Sat,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,From DOE Reference Buildings 
Outpatient Bldg Occ,Occupancy,,WntrDsn|Sun,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,From DOE Reference Buildings 
Outpatient ClgSetp,Thermostat Setpoint,C,Default|SmrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Reference Buildings 
Outpatient ClgSetp,Thermostat Setpoint,C,Wknd,1-Jan,31-Dec,Constant,25,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient ClgSetp,Thermostat Setpoint,C,WntrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,25,25,25,From DOE Reference Buildings 
Outpatient Clothing,Clothing,,Default|WntrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient Clothing,Clothing,,SmrDsn,1-Jan,31-Dec,Constant,0.5,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient Clothing,Clothing,,Wknd|Wkdy,1-Oct,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient Clothing,Clothing,,Wknd|Wkdy,1-May,30-Sep,Constant,0.5,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient HtgSetp,Thermostat Setpoint,C,Default|SmrDsn,1-Jan,31-Dec,Hourly,18.3,18.3,18.3,18.3,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,18.3,18.3,18.3,18.3,18.3,From DOE Reference Buildings 
Outpatient HtgSetp,Thermostat Setpoint,C,Wknd,1-Jan,31-Dec,Constant,18.3,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient HtgSetp,Thermostat Setpoint,C,WntrDsn,1-Jan,31-Dec,Hourly,18.3,18.3,18.3,18.3,18.3,18.3,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,From DOE Reference Buildings 
Outpatient Infil,Infiltration,,Default,1-Jan,31-Dec,Constant,0.5,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient Infil,Infiltration,,WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient OR ClgSetp,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,22.2,22.2,22.2,22.2,22.2,22.2,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,22.2,22.2,22.2,22.2,22.2,22.2,22.2,From DOE Reference Buildings 
Outpatient OR HtgSetp,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,18.3,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient Radiology Equip,Equipment,,Default|SmrDsn,1-Jan,31-Dec,Hourly,0.01,0.01,0.01,0.01,0.01,0.01,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.01,0.01,0.01,0.01,0.01,0.01,From DOE Reference Buildings 
Outpatient Radiology Equip,Equipment,,WntrDsn|Sun,1-Jan,31-Dec,Constant,0.01,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
Outpatient Work Eff,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Reference Buildings 
OutPatientHealthCare AHU-1_ExtraElecHeatC_Sch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare AHU-1_ExtraWaterHeatC_Sch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare AHU-1_OAminOAFracSchedule,OA Air,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.33,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare AIR_VELO_SCH,Unknown,W,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare ALWAYS_OFF,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare ALWAYS_ON,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare BLDG_CAV_SCH,Unknown,,Default|WntrDsn|SmrDsn|Sat|Wkdy,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.3,0.3,1,1,1,1,1,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_CAV_SCH_HUMID,Unknown,,Default|WntrDsn|SmrDsn|Sat|Wkdy,1-Jan,31-Dec,Hourly,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,From DOE Prototype Buildings
OutPatientHealthCare BLDG_ELEVATORS,Elevator,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_ELEVATORS,Elevator,,Sat,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,0.46,0.7,0.7,0.7,0.51,0.51,0.51,0.51,0.51,0.25,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_ELEVATORS,Elevator,,SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare BLDG_ELEVATORS,Elevator,,Wkdy,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.75,1,1,1,0.75,1,1,1,1,1,0.52,0.52,0.52,0.28,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_ELEVATORS,Elevator,,WntrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare BLDG_EQUIP_SCH,Equipment,,Default,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_EQUIP_SCH,Equipment,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_EQUIP_SCH,Equipment,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_EQUIP_SCH_BASE,Equipment,,Default,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_EQUIP_SCH_BASE,Equipment,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_EQUIP_SCH_BASE,Equipment,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_CORRIDOR_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_CORRIDOR_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_CORRIDOR_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_EXAM_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_EXAM_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_EXAM_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_LOBBYFLR1_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_LOBBYFLR1_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_LOBBYFLR1_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_OFFICE_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_OFFICE_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_OFFICE_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_STORAGE_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_STORAGE_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_STORAGE_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_TOILET_SCH,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_TOILET_SCH,Lighting,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_LIGHT_TOILET_SCH,Lighting,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OA_FRAC_SCH,OA Air,,Default,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OA_FRAC_SCH,OA Air,,WntrDsn|SmrDsn|Sat|Wkdy,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OA_SCH,OA Air,,Default,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OA_SCH,OA Air,,WntrDsn|SmrDsn|Sat|Wkdy,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OCC_SCH,Occupancy,,Default,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OCC_SCH,Occupancy,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.2,0.2,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.5,0.2,0.2,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_OCC_SCH,Occupancy,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare BLDG_SWH_SCH,Service Water Heating,,Default,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,From DOE Prototype Buildings
OutPatientHealthCare BLDG_SWH_SCH,Service Water Heating,,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.58,0.66,0.78,0.82,0.71,0.82,0.78,0.74,0.63,0.41,0.18,0.18,0.18,0.1,0.01,0.01,From DOE Prototype Buildings
OutPatientHealthCare BLDG_SWH_SCH,Service Water Heating,,WntrDsn|Sat,1-Jan,31-Dec,Hourly,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.28,0.3,0.3,0.24,0.24,0.23,0.23,0.23,0.1,0.01,0.01,0.01,0.01,0.01,0.01,From DOE Prototype Buildings
OutPatientHealthCare CAV_SAT_SCH,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,11.1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_NO_OPTIMUM,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,25,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_NO_OPTIMUM,Thermostat Setpoint,C,SmrDsn|Wkdy,1-Jan,31-Dec,Hourly,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_NO_OPTIMUM,Thermostat Setpoint,C,WntrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_NO_SETBACK,Thermostat Setpoint,C,Default|Wkdy,1-Jan,31-Dec,Constant,22.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_NO_SETBACK,Thermostat Setpoint,C,SmrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_NO_SETBACK,Thermostat Setpoint,C,WntrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,25,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM,Thermostat Setpoint,C,SmrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM,Thermostat Setpoint,C,Wkdy,1-Jan,31-Dec,Hourly,25,25,25,25,25,23.9,23.3,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM,Thermostat Setpoint,C,WntrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM_ORIGINAL,Thermostat Setpoint,C,Default,1-Jan,31-Dec,Constant,25,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM_ORIGINAL,Thermostat Setpoint,C,SmrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM_ORIGINAL,Thermostat Setpoint,C,Wkdy,1-Jan,31-Dec,Hourly,25,25,25,25,25,23.9,23.3,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLGSETP_SCH_YES_OPTIMUM_ORIGINAL,Thermostat Setpoint,C,WntrDsn,1-Jan,31-Dec,Hourly,25,25,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,25,25,25,From DOE Prototype Buildings
OutPatientHealthCare CLOTHING_SCH,Clothing,W,Default|SmrDsn,1-Jan,31-Dec,Constant,0.5,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLOTHING_SCH,Clothing,W,Wknd|Wkdy,1-Oct,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLOTHING_SCH,Clothing,W,Wknd|Wkdy,1-Jan,30-Apr,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CLOTHING_SCH,Clothing,W,WntrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CoolingCoilAvailSched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare CW-Loop-Temp-Schedule,Unknown,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,6.7,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare Dual Zone Control Type Sched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare ELEV_LIGHT_FAN_SCH_24_7,Lighting,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
OutPatientHealthCare ELEV_LIGHT_FAN_SCH_ADD_DF,Lighting,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
OutPatientHealthCare ELEV_LIGHT_FAN_SCH_ADD_DF,Lighting,,Sat,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,0.46,0.7,0.7,0.7,0.51,0.51,0.51,0.51,0.51,0.25,0.05,0.05,0.05,0.05,0.05,0.05,From DOE Prototype Buildings
